Level	Department Name	Area Name	AHU Label	Location	Type	device_id	Remark	Class
L04	Inpatient Pharmacy Department	Inpatient Pharmacy Department	AHU-TPN-01	AHU Room	19		cant find any AHU-TPN	IPD T19
L04	Inpatient Pharmacy Department	Inpatient Pharmacy Department	AHU-TPN-02	AHU Room	19		cant find any AHU-TPN	IPD T19
L08	Inpatient Wards - Gynaecology 1	Inpatient Wards - Gynaecology 1	AHU-L8-GY1-01	AHU Room	2		duplicate: e0804	IWG1 T2
L08	Inpatient Wards - Gynaecology 2	Inpatient Wards - Gynaecology 2	AHU-L8-GY2-01	AHU Room	2		duplicate: e0805	IWG2 T2
L04	Labour and Delivery Unit	Labour and Delivery Unit	AHU-L4-LDS-01	AHU Room	3		cant find any L4-LDS	LDU T3
L04	Labour and Delivery Unit	Labour and Delivery Unit	AHU-L4-LDS-02	AHU Room	3		cant find any L4-LDS	LDU T3
L04	Labour and Delivery Unit	Labour and Delivery Unit	AHU-L4-LDS-03	AHU Room	3		cant find any L4-LDS	LDU T3
L05	Main Operation Theatre Complex	Main Operation Theatre Complex (OTC)	AHU-L5-OT-10	AHU Room	11		duplicate: e0622	MOTC T11
L05	Main Operation Theatre Complex	Main Operation Theatre Complex (OTC)	AHU-L6-OT	AHU Room	14		mismatch	MOTC T14
L05	Main Operation Theatre Complex	Main Operation Theatre Complex (OTC)	AHU-L6-OT	AHU Room	14		mismatch	MOTC T14
L05	Main Operation Theatre Complex	Main Operation Theatre Complex (OTC)	AHU-L6-OT	AHU Room	14		mismatch	MOTC T14
L05	Main Operation Theatre Complex	Main Operation Theatre Complex (OTC)	AHU-L6-OT	AHU Room	14		mismatch	MOTC T14
L05	Main Operation Theatre Complex	Main Operation Theatre Complex (OTC)	AHU-L6-OT	AHU Room	14		mismatch	MOTC T14
L05	Main Operation Theatre Complex	Main Operation Theatre Complex (OTC)	AHU-L6-OT	AHU Room	14		mismatch	MOTC T14
L05	Main Operation Theatre Complex	Main Operation Theatre Complex (OTC)	AHU-L6-OT	AHU Room	14		mismatch	MOTC T14
L05	Main Operation Theatre Complex	Main Operation Theatre Complex (OTC)	AHU-L6-OT	AHU Room	14		mismatch	MOTC T14
L05	Main Operation Theatre Complex	Main Operation Theatre Complex (OTC)	AHU-L6-OT	AHU Room	14		mismatch	MOTC T14
L05	Main Operation Theatre Complex	Main Operation Theatre Complex (OTC)	AHU-L6-OT	AHU Room	14		mismatch	MOTC T14
L05	Main Operation Theatre Complex	Main Operation Theatre Complex (OTC)	AHU-L6-OT	AHU Room	14		mismatch	MOTC T14
L05	Main Operation Theatre Complex	Main Operation Theatre Complex (OTC)	AHU-L6-OT	AHU Room	14		mismatch	MOTC T14
L05	Main Operation Theatre Complex	Main Operation Theatre Complex (OTC)	AHU-L6-OT	AHU Room	14		mismatch	MOTC T14
L05	Main Operation Theatre Complex	Main Operation Theatre Complex (OTC)	AHU-L6-OT	AHU Room	14		mismatch	MOTC T14
L05	Main Operation Theatre Complex	Main Operation Theatre Complex (OTC)	AHU-L6-OT	AHU Room	14		mismatch	MOTC T14
L04	Neonatal Intensive Care Unit	Neonatal Intensive Care Unit (NICU)	AHU-L4-NI-01	AHU Room	3		cannot find L4-NI	NICU T3
L04	Neonatal Intensive Care Unit	Neonatal Intensive Care Unit (NICU)	AHU-L4-NI-02	AHU Room	3		cannot find L4-NI	NICU T3
L03	Paediatric Specialist Clinic	Paediatric Specialist Clinic 2 - Otorhinolaryngology (ENT) Clinic	AHU-L3-EOA-01	AHU Room	1		cant find any L3-EOA	PSC2 T1
L03	Paediatric Specialist Clinic	Paediatric Specialist Clinic 2 - Otorhinolaryngology (ENT) Clinic	AHU-L3-EOA-02	AHU Room	1		cant find any L3-EOA	PSC2 T1
L06	Specialist Office Complex	Specialist Office Complex	AHU-L6-SOC-01	AHU Room	6		duplicate: e0607	SOC T6
