timestamp,ahu_id,level,health_index,tier,energy_anomaly,pf_degradation,phase_imbalance,thd_drift,overload,raw_power_total,raw_energy_import,raw_hourly_delta,raw_predicted_delta,raw_energy_anomaly_raw,raw_power_factor_avg,raw_current_unbalance,raw_composite_thd,raw_apparent_power_total,raw_current_l1,raw_current_l2,raw_current_l3,raw_volts_l1_n,raw_volts_l2_n,raw_volts_l3_n,raw_current_l1_thd,raw_current_l3_thd,raw_volts_l1_thd,raw_volts_l2_thd,raw_volts_l3_thd,raw_nema_voltage_imbalance,raw_p95_current,safety_flags,device_id,baseline_power_median,baseline_power_rstd,baseline_power_p5,baseline_power_p25,baseline_power_p75,baseline_power_p95,baseline_energy_median,baseline_energy_rstd,baseline_energy_p5,baseline_energy_p25,baseline_energy_p75,baseline_energy_p95,baseline_pf_median,baseline_pf_rstd,baseline_pf_p5,baseline_pf_p25,baseline_pf_p75,baseline_pf_p95,baseline_unbalance_median,baseline_unbalance_rstd,baseline_unbalance_p5,baseline_unbalance_p25,baseline_unbalance_p75,baseline_unbalance_p95,baseline_thd_24h_median,baseline_thd_24h_rstd,baseline_thd_24h_p5,baseline_thd_24h_p95,z_energy,z_power_factor,z_phase_imbalance,z_thd_drift,z_overload,level_energy,level_pf,level_unbalance,level_thd,trend_energy,trend_pf,trend_unbalance,trend_thd,overload_power_ratio,overload_demand,score_overload_A,score_overload_B,score_overload_C,flag_thd_chronic_high,flag_imbalance_severe,flag_pf_chronic_low,flag_overload_chronic
2026-02-16 08:00:00+00:00,e1108,Level 11,78.41,Monitor,50.0,20.46,0.0,0.0,44.88,3.122486666666666,30513.266666666663,,,,0.64,14.8,62.5,4.86109,,,,,,,56.4,68.6,,,,,7.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-16 09:00:00+00:00,e1108,Level 11,83.52,Healthy,50.0,0.0,0.0,0.0,44.89,3.122971111111111,30514.522222222226,1.3222222222211713,,,0.6422222222222222,14.466666666666663,61.1561403508772,4.84847,7.359999999999999,7.467777777777779,5.913529411764706,230.5625,234.97333333333333,237.5142857142857,55.63333333333333,66.67894736842106,2.815384615384616,3.3666666666666667,3.1666666666666665,1.616,7.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-16 10:00:00+00:00,e1108,Level 11,83.54,Healthy,50.0,0.0,0.0,0.0,44.79,3.119090526315789,30516.352631578942,1.830409356723976,,,0.6447368421052632,14.773684210526316,61.62105263157895,4.835680526315789,7.355263157894737,7.49,5.891052631578947,230.1,234.7736842105263,237.23684210526315,55.5,67.7421052631579,2.847368421052632,3.357894736842105,3.1894736842105265,1.682,7.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-16 11:00:00+00:00,e1108,Level 11,83.53,Healthy,50.0,0.0,0.0,0.0,44.87,3.122014210526316,30518.34210526316,1.9894736842106795,,,0.6473684210526316,14.652631578947368,61.33947368421053,4.828835789473684,7.351578947368421,7.484736842105264,5.902105263157895,229.6315789473684,234.18947368421053,236.7894736842105,55.52105263157896,67.15789473684211,2.931578947368421,3.3421052631578947,3.221052631578948,1.672,7.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-16 12:00:00+00:00,e1108,Level 11,83.55,Healthy,50.0,0.0,0.0,0.0,44.77,3.1183972222222223,30520.261111111107,1.919005847950757,,,0.6461111111111112,14.783333333333337,61.62222222222222,4.828235555555556,7.34611111111111,7.492777777777778,5.892222222222222,229.76666666666668,234.2888888888889,236.89444444444447,55.827777777777776,67.41666666666667,2.8833333333333333,3.283333333333333,3.188888888888889,1.662,7.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-16 13:00:00+00:00,e1108,Level 11,83.53,Healthy,50.0,0.0,0.0,0.0,44.84,3.120808421052632,30522.178947368426,1.9178362573147751,,,0.646842105263158,14.942105263157892,61.7921052631579,4.826466315789474,7.34578947368421,7.5,5.877894736842105,229.7263157894737,234.2315789473684,236.82631578947368,55.95789473684211,67.6263157894737,2.894736842105264,3.294736842105263,3.1894736842105265,1.656,7.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-16 14:00:00+00:00,e1108,Level 11,83.55,Healthy,50.0,0.0,0.0,0.0,44.73,3.1165726315789475,30524.189473684208,2.0105263157856825,,,0.65,15.026315789473683,61.05526315789474,4.814978421052632,7.339473684210525,7.486842105263157,5.855789473684211,229.6157894736842,234.02631578947367,236.61052631578949,55.27368421052632,66.83684210526316,2.921052631578948,3.331578947368421,3.263157894736842,1.629,7.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-16 15:00:00+00:00,e1108,Level 11,83.5,Healthy,50.0,0.0,0.0,0.0,45.0,3.127253157894737,30526.14736842105,1.957894736846356,,,0.65,14.694736842105264,60.76315789473684,4.818868421052631,7.288947368421053,7.42842105263158,5.850526315789473,231.50526315789472,235.69473684210524,238.1157894736842,55.04210526315789,66.48421052631579,2.863157894736842,3.268421052631579,3.1789473684210527,1.531,7.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-16 16:00:00+00:00,e1108,Level 11,83.46,Healthy,50.0,0.0,0.0,0.0,45.21,3.135532105263158,30528.13684210526,1.9894736842070413,,,0.65,14.721052631578948,61.80263157894737,4.842835789473685,7.26,7.3921052631578945,5.817368421052632,233.71578947368425,237.8631578947368,240.32105263157897,55.67368421052631,67.93157894736842,2.863157894736842,3.1789473684210527,3.1,1.51,7.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-16 17:00:00+00:00,e1108,Level 11,83.4,Healthy,50.0,0.0,0.0,0.0,45.49,3.146758421052632,30530.14210526316,2.0052631578946603,,,0.6410526315789473,14.778947368421052,63.54276315789474,4.886508421052632,7.277894736842105,7.411578947368421,5.836315789473685,235.24210526315792,239.32631578947368,241.7894736842105,57.71052631578947,69.375,2.726315789473684,3.0789473684210527,3.0421052631578944,1.484,7.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
